"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"6894","Pac-Attack    ","GG","Namco  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"6895","Pac-Attack    ","VC","Namco  ","N/A","N/A","14th Jan 08  ","N/A","N/A","N/A"
"6896","Pac-Attack    ","GB","Namco  ","N/A","N/A","01st Dec 94  ","N/A","N/A","N/A"
"6897","Pac-Attack    ","GEN","Namco  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"6898","Pac-In-Time    ","SNES","Namco  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"6899","Pac-in-Time    ","GB","Namco  ","N/A","N/A","01st Feb 95  ","N/A","N/A","N/A"
"6900","Pac-in-Time    ","PC","Mindscape  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"6901","Pac-Kong    ","2600","Quelle  ","N/A","N/A","01st Jan 83  ","N/A","N/A","N/A"
"6902","Pac-Land    ","PCE","NEC  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"6903","Pac-Land    ","Lynx","Atari  ","N/A","N/A","31st Dec 92  ","N/A","N/A","N/A"
"6904","Pac-Land    ","NES","Namco  ","N/A","N/A","21st Nov 85  ","N/A","N/A","N/A"
"6905","Pac-Man    ","GG","Namco  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"6906","Pac-Man    ","XBL","Namco Bandai  ","N/A","N/A","09th Aug 06  ","N/A","N/A","N/A"
"6907","Pac-Man    ","VC","Namco Bandai  ","N/A","N/A","14th May 07  ","N/A","N/A","N/A"
"6908","Pac-Man    ","GB","Namco  ","N/A","N/A","01st Apr 91  ","N/A","N/A","N/A"
"6909","Pac-Man    ","5200","Atari  ","N/A","N/A","01st Jan 82  ","N/A","N/A","N/A"
"6910","Pac-Man    ","3DS","Namco Bandai  ","N/A","N/A","01st Sep 11  ","N/A","N/A","N/A"
"6911","Pac-Man    ","Arc","Midway  ","N/A","N/A","01st Oct 80  ","N/A","N/A","N/A"
"6912","Pac-Man (FDS)    ","NES","Namco  ","N/A","N/A","18th May 90  ","N/A","N/A","N/A"
"6913","Pac-Man (Tengen)    ","NES","Tengen  ","N/A","N/A","01st Jan 87  ","N/A","N/A","N/A"
"6914","Pac-Man 2: The New Adventures    ","SNES","Namco  ","N/A","N/A","06th Apr 94  ","N/A","N/A","N/A"
"6915","Pac-Man 2: The New Adventures    ","GEN","Namco  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"6916","Pac-Man and the Ghostly Adventures    ","3DS","Namco Bandai Games  ","N/A","0.00m","05th Nov 13  ","N/A","0.00m","N/A"
"6917","PAC-MAN and the Ghostly Adventures    ","PC","Namco Bandai Games  ","N/A","N/A","29th Oct 13  ","N/A","N/A","N/A"
"6918","Pac-Man Championship Edition    ","XBL","Namco Bandai  ","N/A","N/A","06th Jun 07  ","N/A","N/A","N/A"
"6919","Pac-Man Championship Edition    ","PSN","Namco Bandai  ","N/A","N/A","01st Feb 11  ","N/A","N/A","N/A"
"6920","Pac-Man Championship Edition DX    ","XBL","Namco Bandai  ","N/A","N/A","17th Nov 10  ","N/A","N/A","N/A"
"6921","Pac-Man Championship Edition DX    ","PSN","Namco Bandai  ","N/A","N/A","23rd Nov 10  ","N/A","N/A","N/A"
"6922","PAC-MAN Friends    ","And","Namco Bandai Games  ","N/A","N/A","20th Aug 14  ","N/A","N/A","N/A"
"6923","PAC-MAN MONSTERS    ","And","GREE  ","N/A","N/A","24th Apr 14  ","N/A","N/A","N/A"
"6924","Pac-Man vs.     ","GC","Namco  ","N/A","N/A","02nd Dec 03  ","N/A","N/A","N/A"
"6925","Pac-Man World    ","PS","Namco  ","N/A","N/A","30th Sep 99  ","N/A","N/A","N/A"
"6926","Pac-Man World    ","GBA","Namco  ","N/A","N/A","17th Nov 04  ","N/A","N/A","N/A"
"6927","Pac-Man World 2    ","PS2","Namco  ","N/A","N/A","24th Feb 02  ","N/A","N/A","N/A"
"6928","Pac-Man World 2    ","PC","Hip Interactive  ","N/A","N/A","25th May 04  ","N/A","N/A","N/A"
"6929","Pac-Man World 3    ","PC","Namco  ","N/A","0.00m","08th Dec 05  ","0.00m","N/A","0.00m"
"6930","Pac-Man World Rally    ","PC","Namco Bandai  ","N/A","N/A","31st Aug 06  ","N/A","N/A","N/A"
"6931","Pac-Man: Special Color Edition    ","GB","Namco  ","N/A","N/A","01st Aug 99  ","N/A","N/A","N/A"
"6932","Pac-Mania    ","MS","TecMagik  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"6933","Pac-Mania    ","NES","Tengen  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"6934","Pac-Mania    ","GEN","Tengen  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"6935","Pac-Mania (Arcade)    ","VC","Namco Bandai  ","N/A","N/A","04th Aug 09  ","N/A","N/A","N/A"
"6936","Pacapaca Passion    ","PS","Produce!  ","N/A","N/A","24th Jun 99  ","N/A","N/A","N/A"
"6937","Pacapaca Passion    ","PSN","Kemco  ","N/A","N/A","25th Mar 11  ","N/A","N/A","N/A"
"6938","Pacapaca Passion 2    ","PS","Produce!  ","N/A","N/A","27th Apr 00  ","N/A","N/A","N/A"
"6939","Pacapaca Passion 2    ","PSN","Kemco  ","N/A","N/A","13th Apr 11  ","N/A","N/A","N/A"
"6940","Pacapaca Passion Special    ","PS","CyberFront  ","N/A","N/A","04th Apr 02  ","N/A","N/A","N/A"
"6941","Pachi & Slot Hisshoubon DS    ","DS","Dorart  ","N/A","0.00m","26th Mar 09  ","N/A","0.00m","N/A"
"6942","Pachi-Slot Aruze Oukoku 2    ","PS","Aruze Corp  ","N/A","0.54m","25th Nov 99  ","N/A","0.50m","0.04m"
"6943","Pachi-Slot Aruze Oukoku 3    ","PS","Aruze Corp  ","N/A","0.11m","19th Jul 00  ","N/A","0.10m","0.01m"
"6944","Pachi-Slot Aruze Oukoku 4    ","PS","Aruze Corp  ","N/A","0.53m","14th Dec 00  ","N/A","0.49m","0.03m"
"6945","Pachi-Slot Higrashi no Naku Koro ni Matsuri    ","PS2","Alchemist  ","N/A","0.02m","22nd Apr 10  ","N/A","0.02m","N/A"
"6946","Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3    ","PS","Syscom  ","N/A","0.16m","06th Aug 98  ","N/A","0.15m","0.01m"
"6947","Pachi-Slot Love Story    ","SNES","Coconuts Japan   ","N/A","N/A","19th Nov 93  ","N/A","N/A","N/A"
"6948","Pachi-Slot Nobunaga no Yabou: Tenka Sousei    ","PS2","KOEI  ","N/A","N/A","30th Mar 06  ","N/A","N/A","N/A"
"6949","Pachi-Slot PC    ","PCE","Unknown  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"6950","Pachi-Slot Teiou 7    ","PS","Media Entertainment  ","N/A","N/A","12th Oct 00  ","N/A","N/A","N/A"
"6951","Pachi-Slot Teiou Maker Suishou Manual 5: Race Queen 2 Tomcat    ","PS","Media Entertainment  ","N/A","N/A","30th Aug 01  ","N/A","N/A","N/A"
"6952","Pachi-Slot Teiou: Dream Slot - Heiwa SP    ","DC","Media Entertainment  ","N/A","N/A","26th Jul 01  ","N/A","N/A","N/A"
